parent_id,category_id,category_name,notes
14,99999056,Education,"This category includes private and public academic institutions that provide educational and training services. They generally include colleges and universities, vocational colleges, training centers, and electronic-learning providers."
5,99999007,Electric & Gas,"This category includes private owner/operators engaged in the generation (electric only), transmission, and/or distribution of electricity, gas, and/or steam. Such establishments may be combinations of any of the above services and also include other types of services."
2,99999002,Engineering Services,"This category comprises of professional services firms, whose PRIMARY activity is to perform design engineering and analysis work. These firms can provide major manufacturers with on-demand design and analysis services. They DO NOT include companies that offer services to manufacture products. This category also includes systems integration engineering services."
20,99999077,Farms & Orchards,"This category contains businesses that have a principal focus on breading, cultivating and/or harvesting animals, raw foods or raw renewable materials. Site examples are orchards, forests, farms and fisheries."
18,99999073,Film & TV Services,"This category includes post-production facilities, vfx studios, animation studios, film labs, service bureaus, independent studios and production companies."
18,99999071,Film Studios,This category includes the 6 major North American film studios whose various movie production and distribution subsidiaries command approximately 90% of the U.S. and Canadian box office. This sub-segment also includes select regional conglomerates that lead in their respective markets and select major film vfx /animation studios that function as top tier service provider to the major film studios;
7,99999019,Fluid Systems & Fluid Power Equipment,"This category includes hydraulic & pneumatic equipment, pumps and fluid motors, actuators, valves, compressors, fittings, tube & pipe systems."
10,99999081,Furniture & Housewares,"This category includes goods such as furniture, home furnishings, household fixtures, housewares, home accessories & collectables as well as home improvement goods. This segment also includes reusable containers & vessels."
12,99999045,Games,"Games category includes companies whose primary business activity is in the design, development and publishing of video games for all types of gaming platforms and genres. The segment includes publishers, publisher/developers as well as independent development studios."
6,99999049,Government Civil Infrastructure & Development,"This category includes government run institutions engaged in various infrastructure activities, but there is not enough evidence to categorize further (includes generic SIC codes relating to government)."
6,99999012,Government Environmental Design & Management,"This category includes government run institutions that engage in activities such as Water Resource Engineering, Waste Management (Landfill), Site Remediation, etc."
4,99999006,Government Institutional Buildings,"This segment includes all government owned facilities such as court houses, post offices, fire stations, libraries, prisons, embassies, Federal Reserve banks, etc."
6,99999013,Government Land Development & Urban Design,"This category includes government run institutions that engage in activities such as Land Development, Land Management, Land Planning, Urban Planning etc. (including activities such as Land Use, Environmental Planning, Zoning, Parceling, sustainable development and communities, etc.) These activities tend to be done by Governmental Executive offices, though this is not their sole function."
6,99999048,Government National Defense & Space,"This category consists of government run space exploration programs, nationalized military organizations and defense agencies. Parent organizations within this sub-segment never manufacture products, instead, they direct, oversee and contract the design, fabrication, manufacture or construction of numerous technologies or infrastructures, and they manage day-to-day operations and maintenance activities."
6,99999011,Government Transportation Infrastructure,"This category includes government run Airports & Aviation, Highways & Bridges, Ports and Waterways, Railroads, Transit, etc."
5,99999010,Government Utilities & Telecom,This category is made up of public institutions that provide any of the U&T services.
19,99999076,Graphic Design & Creative Services,"This category includes companies that offer a broad array of graphic design services, web design as well as more traditional commercial art and photography studios. Graphic design companies typically function as service providers to M&E and other industries;"
7,99999040,High Tech,"This category includes semi-conductors, semi-conductor manufacturing equipment, advanced electronic components, telecommunications equipment, and scientific test equipment."
13,99999062,Holding Companies,This category includes companies whose primary business activity is the acquisition and ownership of diverse businesses.
4,99999058,Hospitality,"This category includes hotels, motels, casinos and resorts."
4,99999052,Hospitals & Medical Services,"This category includes companies whose primary line of business is to serve patients in medical buildings, including hospitals, clinics, dentistry, therapy, rehabilitation, donor banks, etc. It is not purely Building Owners/Operators, but based on industry adjacency the Industry Teams agreed to put them here."
7,99999023,Industrial Electrical & Electronic Equipment,"This category includes electrical power supplies and power management, condition monitoring systems, control systems, PLCs, motors & servos, industrial robots, I/O controls and industrial network equipment."
7,99999022,Industrial Process Equipment,"This category includes raw material extraction and processing equipment, Industrial heating, cooling and environmental controls equipment, food processing and packaging equipment, chemical processing equipment."
11,99999061,Lab & Research Equipment,"This category covers the manufacture of specialized and used by working in a such as Bunsen burners, microscopes, calorimeter etc."
4,99999051,"Legal, Finance & Insurance Services","This category includes companies whose primary business is to offer law, banking and insurance services in office buildings, including investment and credit institutions. It is not purely Building Owners/Operators, but based on industry adjacency the Industry Teams agreed to put them here."
7,99999017,Machine Tools,"This category includes powered machinery that deforms, cuts, removes or joins a hardened material. Common machine examples are lathes, shapers, planers, drill presses, milling machines, grinding machines, power saws, presses, EDM machines, lasers and welders."
8,99999026,Marine Equipment,"This category includes shipbuilding, boatbuilding, pleasure craft, submersibles and marine specific support equipment."
11,99999038,Medical Devices & Equipment,"This category includes commercial and consumer focused manufacturers of medical instruments, apparatus, machines or implants used in patients, in diagnosis, therapy or surgery, such as hearing aids, blood sugar monitors, thermometers etc."
15,99999085,Metal & Ore Processing,"This category contains companies engaged in smelting and/or refining ferrous and nonferrous metals, such as iron and steel mills, rolled steel shape manufacturers, extruded shape manufacturers, aluminum producers and copper foundries. This segment also includes those companies involved in processing precious metals, minerals and ores related to gold, silver & platinum as examples."
16,99999067,Mining,"This category represents private companies and public agencies that are involved in different stages of metal and mineral production such as the exploration, extraction, processing, transportation of raw metal and minerals Mining within ENI basically includes the Infrastructure and process of taking raw materials from Pit to Port"
7,99999018,"Mining, Agriculture & Construction Equipment","This category includes material mining equipment, oil and gas field equipment, planting, irrigation and harvesting equipment, building site construction equipment, road building equipment and general earth moving equipment."
20,99999080,Miscellaneous Goods,"This category contains companies that produce goods that are consumed by numerous associated manufacturing industries. Examples products are commodities like nuts, bolts, washers, nails, screws, seals, gaskets and electrical connectors. Additional examples are companies who produce processed materials like rubber, pig iron, wire, railroad ties, etc."
17,99999069,Oil & Gas Owner/Operator,"This category includes companies and government agencies involved in exploration, production, refining, distribution and marketing of oil and natural gas. National Oil Companies (NOC) are large oil and gas companies that are owned or partially owned by governments. Generally these are vertically integrated companies that execute their operations through a combination of internal and external resources. Majors/Super Majors are publicly owned companies that execute operations across the entire industry footprint including upstream (exploration & production), midstream (processing and transportation) and downstream (refining and marketing). Independents are listed or private companies that generally do not have operations that span the entire industry. Independents typically specialize in either upstream, midstream or downstream operations."
17,99999070,Oilfield Services,"This category consists of firms that help provide the knowledge, personnel, intellectual property, specialized equipment and services needed by the international oil and gas industry to explore for, extract, and transport crude oil and natural gas from the earth to the refinery, and eventually to the consumer. They provide specialized services and products to the oil and gas industry including seismic, reservoir analysis, drilling, well completion & workover, offshore and logistics."
13,99999055,Other,"This category includes companies whose primary business is anything not listed above. By default, any company not captured anywhere else. This category also includes “Resellers”."
13,99999054,Other Services,"This category includes companies whose primary business activity is offering services not listed above. Examples are package delivery, transportation services, message services, etc."
7,99999020,Packaging & Material Handling Equipment,"This category includes conveyor and sorting systems, labeling & sealing equipment, adhesive dispensing and shrink wrap machinery, lifts & work platforms, storage systems, automated retrieval systems, lift trucks, narrow isle and hand trucks, cranes and hoists, material monorail systems."
15,99999065,Paper & Plastics Processing,"This category represents private companies and public agencies that are involved in the manufacturing of resins, silicon, fibers (nylon, saran, vinyl, etc.), plastics, paper or rubber products."
10,99999036,Personal & Leisure Goods,"This category includes goods such as luggage, handbags & purses, watches & jewelry, musical instruments, pet products (non-food), writing & stationary supplies, recreational & sporting goods, small arms & ammunition, fitness equipment and toys & games. This segment also includes professional versions of fitness & sporting equipment."
11,99999060,Pharmaceutical & Biotech Equipment,"This category includes the manufacture of specialized equipment for the research, development, production and distribution of pharmaceuticals and biotechnologies etc."
7,99999021,Power Generation & Transmission Equipment,"This category includes renewable energy equipment (eg. wind turbines, solar cells, biofuel cells, etc), engines & turbines, boilers, generators, shafts, couplings, clutches, brakes, bearings and mechanical power transmission equipment."
6,99999014,Private Civil Infrastructure & Development,"This category includes the privately owned institutions that engage in any of the transportation infrastructure, environmental planning, or land & urban development / planning activities. For example: Waste Management Companies that aren’t owned by Government."
19,99999075,Publishing,"This category includes all types, such as consumer book publishers, educational book publishers, magazine publishers, newspaper publishers, periodical publishers, etc. This sub-segment also includes commercial printing companies;"
8,99999027,Rail Equipment,"This category includes locomotives, passenger and freight cars, metropolitan light rail systems, street cars and trolleys, rail tenders and rail infrastructure equipment."
4,99999005,Residential Buildings,"This category is comprised of privately owned Single-Family home builders and Multi-Family home developers, which includes high-rise residences, condominiums, etc., as well as dwelling operators, brokers and agents."
4,99999057,Retail & Wholesale,"This category includes (a) privately owned retail & wholesale businesses (Clothing stores, department stores, food stores, supply stores, restaurant franchisees and franchisors, storage, home furnishings, merchandise and equipment outlets , service stations, clubs, theaters, etc.) and (b) Commercial Developers (offices, malls, mixed use, etc.) or Commercial Real Estate. This excludes companies that predominately manufacture consumer products, industrial machinery, and OEM."
5,99999009,Telecommunications,"This category is made up of private companies who operate a communications network and license its use to 3rd party subscribers. Broadly speaking, there are 4 types of service providers: Cable companies, Telephone companies, wireless companies, and Interexchange carrier. While there are many types of services being offered, they can generally be grouped into one of 4 categories; data, voice, video and wireless. However, these categories are becoming increasingly blurred as telecom companies continue to leverage their networks to offer multiple services."
20,99999078,Textiles & Leather,"This category contains companies that produce woven, knit or felted cloths & fabrics as well as dressed or tanned leathers. The resulting products can be made from either natural or synthetic materials and may be in a form directly consumable by subsequent industries or require further processing."
10,99999082,Tools & Appliances,"This category includes large and small appliance (including kitchen), hand tools, powered tools, gardening tools, and lawn & gardening equipment. This segment also includes professional versions of powered and unpowered hand tools."
6,99999068,Transportation Services,"This category includes government agencies and private firms that provide, operate and maintain the transportation systems such as toll roads, rail roads, subway systems, commuter rail, bus stations, airports, and other forms of transit. They often include the infrastructure and the vehicles or rolling stock needed to provide transport to their customers or other goods, such a courier services. For Example:companies Fedex & UPS would fall into this category."
6,99999008,Water / Waste Water,"This category includes govt. and private owner/operators who are water or distribution providers or establishments engaged in the collection and disposal of sewage. Such establishments may be combinations of any of the above services and also include other types of services. The assets that they are concerned with include storm water management, water distribution networks, waste water collection networks (sewer systems), and the treatment plants and reservoirs within those networks. These water Owners include all levels of Govt agencies from Federal, State, and Local municipalities. Water segment can also be broken down clearly by Water Resources, Water Treatment and Water Networks."
